unit_price_incl_tax,product_region_name,importer_name,offer_id,varietalcategory_name,producing_winery_winedirect_upc,title,varietal_list,label_classification,product_title,product_winery_name,utm_lt_campaign_token,varietal,utm_ft_keywords,product_style_name
53.8,United States > California > Napa Valley,,20001307_2018-03-15,Cabernet Sauvignon,20001307-TSW,2012 Three Sticks Winery Cabernet Sauvignon Napa Valley,Cabernet Sauvignon,Domestic,2012 Three Sticks Winery Cabernet Sauvignon Napa Valley,Three Sticks Winery,,Cabernet Sauvignon,,Red Wine
23.12,,Louis Latour Inc,,,,,,Import,,Louis Latour,,,,Red Wine
32.93,United States > California > Central Coast > Santa Maria Valley,,20001788_2018-08-13,Chardonnay,20001788-FXN,2016 Foxen Chardonnay Block UU Bien Nacido Vineyard Santa Maria Valley ,Chardonnay,Domestic,2016 Foxen Chardonnay Block UU Bien Nacido Vineyard Santa Maria Valley ,Foxen Winery,,Chardonnay,,White Wine
16.08,Spain,Ole Imports,20001872_2018-09-15,Spanish Red Blend,20001872-CVA,2014 Compañia de Vinos del Atlantico Gordo Yecla Spain,"Cabernet Sauvignon,Monastrell",Import,2014 Compañia de Vinos del Atlantico Gordo Yecla Spain,Compania de Vinos del Atantico,,Cabernet Sauvignon,,Red Wine
32.76,United States > California > Contra Costa,,,Interesting Red,,,,Domestic,,Three Wine Company,,,,Red Wine
21.78,,,,Red Blend,,,,Domestic,,,,,,Red Wine
21.79,Italy > Tuscany,Forte Selections,20001976_2018-10-25,Super Tuscan,20001976-TDC,2012 Tenuta di Ceppaiano Violetta Ceppaiano Toscana IGT,"Cabernet Sauvignon,Sangiovese",Import,2012 Tenuta di Ceppaiano Castellani Ceppaiano Toscana IGT,Tenuta di Ceppaiano,,Cabernet Sauvignon,,Red Wine
71.02,Italy > Tuscany,Vintus,,Super Tuscan,,,"Cabernet Franc,Cabernet Sauvignon,Merlot,Petit Verdot",Import,,Ornellaia,Google_Search_Gamma_Wines_USA_Napa_Top-Producers,,,Red Wine
23.53,New Zealand > Central Otago,Seaview Imports,,,,,,Import,,Akarua,,,,Red Wine
167.01,,Folio,,,,,,Import,,,,,,Red Wine
