is_buyer,varietal,offer_id,product_title,producing_winery_winedirect_upc,product_winery_name,product_region_name,varietalcategory_name,title,varietal_list,importer_name,product_style_name,label_classification,utm_ft_keywords,unit_price_incl_tax,utm_lt_campaign_token
bordeaux,Bordeaux Blend,10726884_2018-09-20,2004 Chateau Grand Corbin Manuel Saint-Emilion Grand Cru,10726884-CGC,Chateau Grand Corbin Manuel,France > Bordeaux > Saint-Emilion,Bordeaux Right Bank,2004 Chateau Grand Corbin Manuel Saint-Emilion Grand Cru,Bordeaux Blend,The Wine Trust,Red Wine,Import,,36.55,
bordeaux,Bordeaux Blend,20001082_2018-02-09,2014 Orin Swift Papillon Red Wine Napa Valley,20001082-ORS,Orin Swift,United States > California > Napa Valley,Bordeaux Red Blend,2014 Orin Swift Papillon Red Wine,Bordeaux Blend,E. & J. Gallo,Red Wine,Domestic,,61.74,
bordeaux,Bordeaux Blend,20001089_2018-04-29,2015 Chateau Larroque Bordeaux Superieur,20001089-DCL,Domaine du Chateau Larroque,France > Bordeaux,Bordeaux Red Blend,2015 Chateau Larroque Bordeaux Superieur,Bordeaux Blend,Europvin,Red Wine,Import,chenin blanc wine,15.93,G_WineAccess_3P_SEARCH-Varietals
bordeaux,Bordeaux Blend,20000773_2017-11-21,2014 Chateau Duhart Milon Pauillac Moulin de Duhart,20000773-DHM,Chateau Duhart Milon,France > Bordeaux > Pauillac,,2014 Chateau Duhart Milon Pauillac Moulin de Duhart,Bordeaux Blend,The Wine Trust,Red Wine,Import,,54.2,
bordeaux,Bordeaux Blend,11900535_2018-04-18,2015 Chateau Haut-Bailly Pessac-Leognan,11900535-CHB,Chateau Haut-Bailly,France,Bordeaux Left Bank,2015 Chateau Haut-Bailly Pessac-Leognan,Bordeaux Blend,The Wine Trust,Red Wine,Import,,206.61,
bordeaux,Bordeaux Blend,20001089_2018-04-29,2015 Chateau Larroque Bordeaux Superieur,20001089-DCL,Domaine du Chateau Larroque,France > Bordeaux,Bordeaux Red Blend,2015 Chateau Larroque Bordeaux Superieur,Bordeaux Blend,Europvin,Red Wine,Import,,15.89,
bordeaux,Bordeaux Blend,11262955_2017-11-21,2010 Chateau Leoville Poyferre Saint Julien,11262955-CLP,Chateau Leoville Poyferre,France > Bordeaux > Saint-Julien,,2010 Chateau Leoville Poyferre Saint Julien,Bordeaux Blend,Sussex,Red Wine,Import,,179.14,
bordeaux,Bordeaux Blend,11752037_2018-03-07,2009 Terra Valentine “Marriage” Proprietary Red Spring Mountain Napa Valley,11752037-TRA,Terra Valentine,United States > California > Napa Valley > Spring Mountain,Bordeaux Red Blend,2009 Terra Valentine Marriage Proprietary Red Estate Spring Mountain District,Bordeaux Blend,,Red Wine,Domestic,,69.99,
bordeaux,Bordeaux Blend,20001089_2018-04-29,2015 Chateau Larroque Bordeaux Superieur,20001089-DCL,Domaine du Chateau Larroque,France > Bordeaux,Bordeaux Red Blend,2015 Chateau Larroque Bordeaux Superieur,Bordeaux Blend,Europvin,Red Wine,Import,,19.56,
bordeaux,Bordeaux Blend,20001089_2018-04-29,2015 Chateau Larroque Bordeaux Superieur,20001089-DCL,Domaine du Chateau Larroque,France > Bordeaux,Bordeaux Red Blend,2015 Chateau Larroque Bordeaux Superieur,Bordeaux Blend,Europvin,Red Wine,Import,,14.99,
bordeaux,Bordeaux Blend,20001089_2018-04-29,2015 Chateau Larroque Bordeaux Superieur,20001089-DCL,Domaine du Chateau Larroque,France > Bordeaux,Bordeaux Red Blend,2015 Chateau Larroque Bordeaux Superieur,Bordeaux Blend,Europvin,Red Wine,Import,,15.89,
bordeaux,Bordeaux Blend,11752037_2018-03-07,2009 Terra Valentine “Marriage” Proprietary Red Spring Mountain Napa Valley,11752037-TRA,Terra Valentine,United States > California > Napa Valley > Spring Mountain,Bordeaux Red Blend,2009 Terra Valentine Marriage Proprietary Red Estate Spring Mountain District,Bordeaux Blend,,Red Wine,Domestic,caymus winery|492|1691678,73.91,Y_Wine Access_3P_Producers_Caymus_Tier1
bordeaux,Bordeaux Blend,11752037_2018-03-13,2009 Terra Valentine “Marriage” Proprietary Red Spring Mountain Napa Valley,11752037-TRA,Terra Valentine,United States > California > Napa Valley > Spring Mountain,Bordeaux Red Blend,2009 Terra Valentine Marriage Proprietary Red Estate Spring Mountain District,Bordeaux Blend,,Red Wine,Domestic,,76.2,
bordeaux,Bordeaux Blend,20001089_2018-02-09,2015 Chateau Larroque Bordeaux Superieur,20001089-DCL,Domaine du Chateau Larroque,France > Bordeaux,Bordeaux Red Blend,2015 Domaine du Chateau Larroque Bordeaux Superieur,Bordeaux Blend,Europvin,Red Wine,Import,,19.71,
bordeaux,Bordeaux Blend,20001381_2018-01-02,2015 Podere Sapaio Sapaio Toscana IGT,20001381-PDS,Podere Sapaio,Italy > Tuscany > Toscana IGT,Super Tuscan,2015 Podere Sapaio Sapaio Toscana IGT,Bordeaux Blend,Lyra Fine Wine Importers,Red Wine,Import,#NAME?,53.86,Bing_Search_Beta_Wines_USA_OR-WA-Rest
bordeaux,Bordeaux Blend,11851706_2018-02-09,2013 Jones Family Vineyards The Sisters ,11851706-JFV,Jones Family Vineyards,United States > California > Napa Valley,Cabernet Sauvignon,2013 Jones Family Vineyards The Sisters ,Bordeaux Blend,Scale Wine Group,Red Wine,Domestic,,80.25,
bordeaux,Bordeaux Blend,20001089_2018-02-09,2015 Chateau Larroque Bordeaux Superieur,20001089-DCL,Domaine du Chateau Larroque,France > Bordeaux,Bordeaux Red Blend,2015 Domaine du Chateau Larroque Bordeaux Superieur,Bordeaux Blend,Europvin,Red Wine,Import,,19.08,
bordeaux,Bordeaux Blend,20001232_2017-11-14,2015 Chateau Pierre 1er  Saint Emilion Grand Cru ,20001232-CHP,Chateau Pierre 1er ,France > Bordeaux > Saint-Emilion Grand Cru,Bordeaux Red Blend,2015 Chateau Pierre 1er  Saint Emilion Grand Cru ,Bordeaux Blend,,Red Wine,Import,,26.74,
bordeaux,Bordeaux Blend,20001089_2018-02-09,2015 Chateau Larroque Bordeaux Superieur,20001089-DCL,Domaine du Chateau Larroque,France > Bordeaux,Bordeaux Red Blend,2015 Domaine du Chateau Larroque Bordeaux Superieur,Bordeaux Blend,Europvin,Red Wine,Import,chateau roylland,19.66,Y_Search_Beta_Wines_France_Bordeaux
bordeaux,Bordeaux Blend,20001205_2018-07-06,2015 Chateau Malescasse Haut Medoc,20001205-CMA,Chateau Malescasse,France > Bordeaux > Haut-Médoc,Bordeaux Left Bank,2015 Chateau Malescasse Haut Medoc,Bordeaux Blend,"Fruit of the Vines, Inc",Red Wine,Import,,23.87,
bordeaux,Bordeaux Blend,11752037_2018-03-07,2009 Terra Valentine “Marriage” Proprietary Red Spring Mountain Napa Valley,11752037-TRA,Terra Valentine,United States > California > Napa Valley > Spring Mountain,Bordeaux Red Blend,2009 Terra Valentine Marriage Proprietary Red Estate Spring Mountain District,Bordeaux Blend,,Red Wine,Domestic,seven hills winery,74.19,Y_Search_Beta_Wines_USA_OR-WA-Rest
bordeaux,Bordeaux Blend,20002012_2018-10-23,2015 Chateau de Villambis Haut-Médoc Cru Bourgeouis,20002012-VIL,Chateau de Villambis,France > Bordeaux > Haut-Médoc,Bordeaux Left Bank,2015 Chateau de Villambis Haut-Médoc Cru Bourgeouis,Bordeaux Blend,Twins America,Red Wine,Import,,14.99,
bordeaux,Bordeaux Blend,20001205_2018-07-06,2015 Chateau Malescasse Haut Medoc,20001205-CMA,Chateau Malescasse,France > Bordeaux > Haut-Médoc,Bordeaux Left Bank,2015 Chateau Malescasse Haut Medoc,Bordeaux Blend,"Fruit of the Vines, Inc",Red Wine,Import,,23.32,
bordeaux,Bordeaux Blend,11752037_2018-10-20,2009 Terra Valentine “Marriage” Proprietary Red Spring Mountain Napa Valley,11752037-TRA,Terra Valentine,United States > California > Napa Valley > Spring Mountain,Bordeaux Red Blend,2009 Terra Valentine “Marriage” Proprietary Red Spring Mountain Napa Valley,Bordeaux Blend,,Red Wine,Domestic,,74.19,
bordeaux,Bordeaux Blend,20001089_2018-04-29,2015 Chateau Larroque Bordeaux Superieur,20001089-DCL,Domaine du Chateau Larroque,France > Bordeaux,Bordeaux Red Blend,2015 Chateau Larroque Bordeaux Superieur,Bordeaux Blend,Europvin,Red Wine,Import,,15.93,
bordeaux,Bordeaux Blend,20001089_2018-04-29,2015 Chateau Larroque Bordeaux Superieur,20001089-DCL,Domaine du Chateau Larroque,France > Bordeaux,Bordeaux Red Blend,2015 Chateau Larroque Bordeaux Superieur,Bordeaux Blend,Europvin,Red Wine,Import,,16.38,06132017-mnb-fp-50-off-150
bordeaux,Bordeaux Blend,20002012_2018-10-23,2015 Chateau de Villambis Haut-Médoc Cru Bourgeouis,20002012-VIL,Chateau de Villambis,France > Bordeaux > Haut-Médoc,Bordeaux Left Bank,2015 Chateau de Villambis Haut-Médoc Cru Bourgeouis,Bordeaux Blend,Twins America,Red Wine,Import,,15.42,11873148
bordeaux,Bordeaux Blend,11900535_2018-04-18,2015 Chateau Haut-Bailly Pessac-Leognan,11900535-CHB,Chateau Haut-Bailly,France,Bordeaux Left Bank,2015 Chateau Haut-Bailly Pessac-Leognan,Bordeaux Blend,The Wine Trust,Red Wine,Import,,189.99,
bordeaux,Bordeaux Blend,20000974_2018-02-09,2014 Chateau Mille-Roses Haut-Medoc Bordeaux,20000974-CMR,Chateau Mille-Roses,France > Bordeaux > Haut-Médoc,Bordeaux Left Bank,2014 Chateau Mille-Roses Haut-Medoc Bordeaux,Bordeaux Blend,Langdon-Shiverick Imports,Red Wine,Import,,42.9,
bordeaux,Bordeaux Blend,11752037_2018-03-07,2009 Terra Valentine “Marriage” Proprietary Red Spring Mountain Napa Valley,11752037-TRA,Terra Valentine,United States > California > Napa Valley > Spring Mountain,Bordeaux Red Blend,2009 Terra Valentine Marriage Proprietary Red Estate Spring Mountain District,Bordeaux Blend,,Red Wine,Domestic,,75.41,
bordeaux,Bordeaux Blend,20001089_2018-04-29,2015 Chateau Larroque Bordeaux Superieur,20001089-DCL,Domaine du Chateau Larroque,France > Bordeaux,Bordeaux Red Blend,2015 Chateau Larroque Bordeaux Superieur,Bordeaux Blend,Europvin,Red Wine,Import,,16.19,
bordeaux,Bordeaux Blend,20001082_2018-02-09,2014 Orin Swift Papillon Red Wine Napa Valley,20001082-ORS,Orin Swift,United States > California > Napa Valley,Bordeaux Red Blend,2014 Orin Swift Papillon Red Wine,Bordeaux Blend,E. & J. Gallo,Red Wine,Domestic,,60.0,
bordeaux,Bordeaux Blend,20001082_2018-02-09,2014 Orin Swift Papillon Red Wine Napa Valley,20001082-ORS,Orin Swift,United States > California > Napa Valley,Bordeaux Red Blend,2014 Orin Swift Papillon Red Wine,Bordeaux Blend,E. & J. Gallo,Red Wine,Domestic,,60.0,
bordeaux,Bordeaux Blend,20000974_2018-02-09,2014 Chateau Mille-Roses Haut-Medoc Bordeaux,20000974-CMR,Chateau Mille-Roses,France > Bordeaux > Haut-Médoc,Bordeaux Left Bank,2014 Chateau Mille-Roses Haut-Medoc Bordeaux,Bordeaux Blend,Langdon-Shiverick Imports,Red Wine,Import,,40.0,
bordeaux,Bordeaux Blend,20001205_2018-07-06,2015 Chateau Malescasse Haut Medoc,20001205-CMA,Chateau Malescasse,France > Bordeaux > Haut-Médoc,Bordeaux Left Bank,2015 Chateau Malescasse Haut Medoc,Bordeaux Blend,"Fruit of the Vines, Inc",Red Wine,Import,,22.0,
bordeaux,Bordeaux Blend,20001015_2017-11-21,2010 Vieux Chateau Mazerat Saint-Emilion Grand Cru Classe,20001015-VCM,Vieux Chateau Mazerat,France > Bordeaux,,2010 Vieux Chateau Mazerat Saint-Emilion Grand Cru Classe,Bordeaux Blend,Sussex,Red Wine,Import,,94.56,
bordeaux,Bordeaux Blend,20001089_2018-02-09,2015 Chateau Larroque Bordeaux Superieur,20001089-DCL,Domaine du Chateau Larroque,France > Bordeaux,Bordeaux Red Blend,2015 Chateau Larroque Bordeaux Superieur,Bordeaux Blend,Europvin,Red Wine,Import,,19.3,
bordeaux,Bordeaux Blend,20001082_2018-02-09,2014 Orin Swift Papillon Red Wine Napa Valley,20001082-ORS,Orin Swift,United States > California > Napa Valley,Bordeaux Red Blend,2014 Orin Swift Papillon Red Wine Napa Valley,Bordeaux Blend,E. & J. Gallo,Red Wine,Domestic,,65.34,
bordeaux,Bordeaux Blend,20000974_2018-02-09,2014 Chateau Mille-Roses Haut-Medoc Bordeaux,20000974-CMR,Chateau Mille-Roses,France > Bordeaux > Haut-Médoc,Bordeaux Left Bank,2014 Chateau Mille-Roses Haut-Medoc Bordeaux,Bordeaux Blend,Langdon-Shiverick Imports,Red Wine,Import,ascheri wine,42.4,Google_Search_Gamma_Wines_Spain-Italy-Portugal
bordeaux,Bordeaux Blend,20000974_2018-02-09,2014 Chateau Mille-Roses Haut-Medoc Bordeaux,20000974-CMR,Chateau Mille-Roses,France > Bordeaux > Haut-Médoc,Bordeaux Left Bank,2014 Chateau Mille-Roses Haut-Medoc Bordeaux,Bordeaux Blend,Langdon-Shiverick Imports,Red Wine,Import,,42.4,20000275
bordeaux,Bordeaux Blend,20002012_2018-10-23,2015 Chateau de Villambis Haut-Médoc Cru Bourgeouis,20002012-VIL,Chateau de Villambis,France > Bordeaux > Haut-Médoc,Bordeaux Left Bank,2015 Chateau de Villambis Haut-Médoc Cru Bourgeouis,Bordeaux Blend,Twins America,Red Wine,Import,,15.89,
bordeaux,Bordeaux Blend,20001089_2018-06-04,2015 Chateau Larroque Bordeaux Superieur,20001089-DCL,Domaine du Chateau Larroque,France > Bordeaux,Bordeaux Red Blend,2015 Chateau Larroque Bordeaux Superieur,Bordeaux Blend,Europvin,Red Wine,Import,,15.44,
bordeaux,Bordeaux Blend,20001089_2018-04-29,2015 Chateau Larroque Bordeaux Superieur,20001089-DCL,Domaine du Chateau Larroque,France > Bordeaux,Bordeaux Red Blend,2015 Chateau Larroque Bordeaux Superieur,Bordeaux Blend,Europvin,Red Wine,Import,,16.41,
bordeaux,Bordeaux Blend,20001089_2018-02-09,2015 Chateau Larroque Bordeaux Superieur,20001089-DCL,Domaine du Chateau Larroque,France > Bordeaux,Bordeaux Red Blend,2015 Domaine du Chateau Larroque Bordeaux Superieur,Bordeaux Blend,Europvin,Red Wine,Import,30 Day Remarketing,19.58,evocalize
bordeaux,Bordeaux Blend,11900535_2018-04-18,2015 Chateau Haut-Bailly Pessac-Leognan,11900535-CHB,Chateau Haut-Bailly,France,Bordeaux Left Bank,2015 Chateau Haut-Bailly Pessac-Leognan,Bordeaux Blend,The Wine Trust,Red Wine,Import,,189.99,
bordeaux,Bordeaux Blend,20001205_2018-02-25,2015 Chateau Malescasse Haut Medoc,20001205-CMA,Chateau Malescasse,France > Bordeaux > Haut-Médoc,Bordeaux Left Bank,2015 Chateau Malescasse Haut Medoc,Bordeaux Blend,"Fruit of the Vines, Inc",Red Wine,Import,duckhorn,21.19,Google_Search_Beta_Wines_USA_NapaValley
bordeaux,Bordeaux Blend,11851706_2018-02-09,2013 Jones Family Vineyards The Sisters ,11851706-JFV,Jones Family Vineyards,United States > California > Napa Valley,Cabernet Sauvignon,2013 Jones Family Vineyards The Sisters ,Bordeaux Blend,Scale Wine Group,Red Wine,Domestic,,82.12,NEW - Refer-a-friend Landing Page
bordeaux,Bordeaux Blend,20001205_2018-07-06,2015 Chateau Malescasse Haut Medoc,20001205-CMA,Chateau Malescasse,France > Bordeaux > Haut-Médoc,Bordeaux Left Bank,2015 Chateau Malescasse Haut Medoc,Bordeaux Blend,"Fruit of the Vines, Inc",Red Wine,Import,,22.0,Cartera 12%
bordeaux,Bordeaux Blend,20001205_2018-07-06,2015 Chateau Malescasse Haut Medoc,20001205-CMA,Chateau Malescasse,France > Bordeaux > Haut-Médoc,Bordeaux Left Bank,2015 Chateau Malescasse Haut Medoc,Bordeaux Blend,"Fruit of the Vines, Inc",Red Wine,Import,057571281e8c379f9418e8f01afba872,23.4,20001607_newbrand
bordeaux,Bordeaux Blend,11752037_2018-10-20,2009 Terra Valentine “Marriage” Proprietary Red Spring Mountain Napa Valley,11752037-TRA,Terra Valentine,United States > California > Napa Valley > Spring Mountain,Bordeaux Red Blend,2009 Terra Valentine “Marriage” Proprietary Red Spring Mountain Napa Valley,Bordeaux Blend,,Red Wine,Domestic,,74.36,20000455
bordeaux,Bordeaux Blend,20001089_2018-04-29,2015 Chateau Larroque Bordeaux Superieur,20001089-DCL,Domaine du Chateau Larroque,France > Bordeaux,Bordeaux Red Blend,2015 Chateau Larroque Bordeaux Superieur,Bordeaux Blend,Europvin,Red Wine,Import,,15.94,
bordeaux,Bordeaux Blend,10811402_2017-11-27,2005 Château Leoville Las Cases Saint-Julien,10811402-LLC,Chateau Leoville Las Cases,France > Bordeaux > Saint-Julien,,2005 Château Leoville Las Cases Saint-Julien,Bordeaux Blend,Sussex,Red Wine,Import,,279.0,
bordeaux,Bordeaux Blend,20001089_2018-02-09,2015 Chateau Larroque Bordeaux Superieur,20001089-DCL,Domaine du Chateau Larroque,France > Bordeaux,Bordeaux Red Blend,2015 Domaine du Chateau Larroque Bordeaux Superieur,Bordeaux Blend,Europvin,Red Wine,Import,mas  de  daumas  gassac,19.58,Google_Search_Beta_Wines_France
bordeaux,Bordeaux Blend,20000974_2018-02-09,2014 Chateau Mille-Roses Haut-Medoc Bordeaux,20000974-CMR,Chateau Mille-Roses,France > Bordeaux > Haut-Médoc,Bordeaux Left Bank,2014 Chateau Mille-Roses Haut-Medoc Bordeaux,Bordeaux Blend,Langdon-Shiverick Imports,Red Wine,Import,,42.8,
bordeaux,Bordeaux Blend,20000974_2018-02-09,2014 Chateau Mille-Roses Haut-Medoc Bordeaux,20000974-CMR,Chateau Mille-Roses,France > Bordeaux > Haut-Médoc,Bordeaux Left Bank,2014 Chateau Mille-Roses Haut-Medoc Bordeaux,Bordeaux Blend,Langdon-Shiverick Imports,Red Wine,Import,,40.0,
